Date,Time,Latitude,Longitude
2011-08-29,18:56:58,42.39162333,-88.08916333
2011-08-29,18:57:08,42.39134833,-88.08916333
2011-08-29,18:57:18,42.39102167,-88.08915667
2011-08-29,18:57:28,42.39063667,-88.08915833
2011-08-29,18:57:38,42.39041,-88.08885833
2011-08-29,18:57:48,42.390395,-88.088315
2011-08-29,18:57:58,42.39067333,-88.08800167
2011-08-29,18:58:08,42.39102667,-88.08800167
2011-08-29,18:58:18,42.39140333,-88.08800333
2011-08-29,18:58:28,42.39171833,-88.087995
2011-08-29,18:58:38,42.39203833,-88.08798833
2011-08-29,18:58:48,42.39241,-88.08807833
2011-08-29,18:58:58,42.3928,-88.08833167
2011-08-29,18:59:08,42.39325667,-88.08837
2011-08-29,18:59:18,42.3936,-88.08823167
2011-08-29,19:00:08,42.39320333,-88.08841667
2011-08-29,19:00:18,42.39279167,-88.08831167
2011-08-29,19:00:28,42.39247667,-88.08821
2011-08-29,19:00:38,42.392385,-88.08869667
2011-08-29,19:00:48,42.39209833,-88.08911333
2011-08-29,19:00:58,42.39218,-88.08949833
2011-08-29,19:01:08,42.39242833,-88.08979
2011-08-29,19:01:18,42.39272167,-88.09004167
2011-08-29,19:01:28,42.39295833,-88.0903
2011-08-29,19:01:38,42.39299,-88.090895
2011-08-29,19:01:48,42.39300167,-88.09161167
2011-08-29,19:01:58,42.39300833,-88.09201
2011-08-29,19:02:08,42.39302,-88.09254833
2011-08-29,19:02:18,42.39310333,-88.09318167
2011-08-29,19:02:28,42.39311833,-88.09373667
2011-08-29,19:02:38,42.39342333,-88.093895
2011-08-29,19:02:48,42.39374333,-88.094075
2011-08-29,19:02:58,42.394105,-88.09425
2011-08-29,19:03:08,42.39447833,-88.09422333
2011-08-29,19:03:18,42.39486,-88.09419833
2011-08-29,19:03:28,42.395085,-88.094515
2011-08-29,19:03:38,42.395095,-88.09502667
2011-08-29,19:03:48,42.39507833,-88.09552
2011-08-29,19:03:58,42.39535167,-88.09577167
2011-08-29,19:04:08,42.39569667,-88.09583333
2011-08-29,19:04:18,42.39598333,-88.09575667
2011-08-29,19:04:48,42.39521833,-88.095685
2011-08-29,19:04:58,42.39493167,-88.095555
2011-08-29,19:05:08,42.39461667,-88.09559667
2011-08-29,19:05:18,42.39429,-88.0956
2011-08-29,19:05:28,42.39395667,-88.095485
2011-08-29,19:05:38,42.39367333,-88.09537167
2011-08-29,19:05:48,42.39333167,-88.09522167
2011-08-29,19:05:58,42.39303667,-88.09514333
2011-08-29,19:06:08,42.39264667,-88.09513833
2011-08-29,19:06:18,42.39234833,-88.09514
2011-08-29,19:06:28,42.39223667,-88.095455
2011-08-29,19:06:38,42.39224667,-88.09598
2011-08-29,19:06:48,42.39246333,-88.096435
2011-08-29,19:06:58,42.39283833,-88.096445
2011-08-29,19:07:08,42.39319333,-88.09644667
2011-08-29,19:07:18,42.39348833,-88.09626667
2011-08-29,19:07:28,42.39360333,-88.09591667
2011-08-29,19:07:38,42.39367833,-88.09559333
2011-08-29,19:08:18,42.39252667,-88.09514833
2011-08-29,19:08:28,42.39219667,-88.09516333
2011-08-29,19:08:38,42.39186,-88.09514
2011-08-29,19:08:48,42.39151833,-88.09514333
2011-08-29,19:08:58,42.39129667,-88.09520333
2011-08-29,19:09:08,42.391275,-88.09560833
2011-08-29,19:09:18,42.39127,-88.096035
2011-08-29,19:09:28,42.39123833,-88.09646833
2011-08-29,19:09:38,42.39095167,-88.09643667
2011-08-29,19:09:48,42.39064167,-88.09644
2011-08-29,19:09:58,42.390335,-88.09644333
2011-08-29,19:10:08,42.39004833,-88.096435
2011-08-29,19:10:18,42.38987,-88.09625833
2011-08-29,19:10:28,42.38986667,-88.09587833
2011-08-29,19:10:38,42.38985833,-88.09548667
2011-08-29,19:10:48,42.389855,-88.09508
2011-08-29,19:10:58,42.38984333,-88.09466667
2011-08-29,19:11:08,42.389835,-88.09421833
2011-08-29,19:11:18,42.38971167,-88.09391
2011-08-29,19:11:28,42.38946,-88.093895
2011-08-29,19:11:58,42.38972167,-88.09383333
2011-08-29,19:12:28,42.38985667,-88.094905
2011-08-29,19:12:38,42.39006667,-88.095155
2011-08-29,19:12:48,42.39057,-88.09514333
2011-08-29,19:12:58,42.39095333,-88.095145
2011-08-29,19:13:08,42.391225,-88.09515333
2011-08-29,19:13:18,42.39153167,-88.095155
2011-08-29,19:13:28,42.391855,-88.09517167
2011-08-29,19:14:08,42.39298833,-88.09497
2011-08-29,19:14:18,42.39305333,-88.094515
2011-08-29,19:14:28,42.39309333,-88.094055
2011-08-29,19:14:38,42.39290167,-88.09385333
2011-08-29,19:14:48,42.39258667,-88.09386667
2011-08-29,19:14:58,42.39230833,-88.09387333
2011-08-29,19:15:18,42.39218333,-88.09376667
2011-08-29,19:15:28,42.39250833,-88.09384667
2011-09-07,19:52:52,41.98143333,-87.78777667
2011-09-07,19:53:02,41.98099833,-87.78777833
2011-09-07,19:53:12,41.98056,-87.78776167
2011-09-07,19:53:22,41.98019833,-87.78775833
2011-09-07,19:53:32,41.97975167,-87.787765
2011-09-07,19:53:42,41.97935167,-87.78775333
2011-09-07,19:53:52,41.97885,-87.78776333
2011-09-07,19:54:02,41.97839833,-87.78777333
2011-09-07,19:54:12,41.97799,-87.78776
2011-09-07,19:54:22,41.977495,-87.78777833
2011-09-07,19:55:42,41.97537333,-87.78783667
2011-09-07,19:55:52,41.97482333,-87.78784167
2011-09-07,19:56:02,41.97428333,-87.78786667
2011-09-07,19:56:12,41.97381,-87.78788
2011-09-07,19:56:22,41.97335333,-87.78788
2011-09-07,19:56:32,41.972905,-87.78789333
2011-09-07,19:56:42,41.97244667,-87.78789333
2011-09-07,19:56:52,41.97191833,-87.78792167
2011-09-07,19:57:02,41.97138333,-87.78792833
2011-09-07,19:57:12,41.97089833,-87.78792
2011-09-07,19:57:22,41.9704,-87.78794667
2011-09-07,19:57:32,41.96987,-87.78796167
2011-09-07,19:57:42,41.96934,-87.78797833
2011-09-07,19:58:12,41.96855333,-87.788695
2011-09-07,19:58:22,41.96855667,-87.78910833
2011-09-07,19:58:32,41.96876333,-87.78914833
2011-09-07,19:59:02,41.96886667,-87.789165
2011-09-07,19:59:12,41.969145,-87.78917667
2011-09-07,19:59:22,41.96942167,-87.78920167
2011-09-07,19:59:32,41.96969167,-87.78920333
2011-09-07,19:59:52,41.97025333,-87.78924667
2011-09-07,20:00:02,41.97064833,-87.78924333
2011-09-07,20:00:12,41.97099667,-87.78923333
2011-09-07,20:00:22,41.97138333,-87.789225
2011-09-07,20:00:32,41.97171,-87.78922667
2011-09-07,20:00:42,41.972065,-87.78924833
2011-09-07,20:00:52,41.972455,-87.78924333
2011-09-07,20:01:02,41.97281,-87.78924667
2011-09-07,20:01:12,41.97314667,-87.78923667
2011-09-07,20:01:22,41.97341833,-87.78921833
2011-09-07,20:01:42,41.97410167,-87.78922833
2011-09-07,20:01:52,41.97458667,-87.78921667
2011-09-07,20:02:02,41.97494833,-87.78920833
2011-09-07,20:02:32,41.97546667,-87.78917333
2011-09-07,20:02:42,41.97595333,-87.78916
2011-09-07,20:03:02,41.97642833,-87.78913833
2011-09-07,20:03:12,41.97680667,-87.78914833
2011-09-07,20:03:22,41.97719667,-87.78914
2011-09-07,20:03:32,41.97752833,-87.78915667
2011-09-07,20:03:42,41.97795833,-87.78915167
2011-09-07,20:03:52,41.97835,-87.78916333
2011-09-07,20:04:02,41.978745,-87.78914333
2011-09-07,20:04:12,41.97916,-87.78913167
2011-09-07,20:04:32,41.9799,-87.789125
2011-09-07,20:04:42,41.98041333,-87.78911833
2011-09-07,20:05:02,41.980715,-87.78970167
2011-09-07,20:05:12,41.98075167,-87.79012
2011-09-07,20:05:22,41.980585,-87.79022667
2011-09-07,20:05:32,41.98025167,-87.79021333
2011-09-07,20:05:42,41.97995,-87.79021833
2011-09-07,20:05:52,41.97959667,-87.79020833
2011-09-07,20:06:02,41.97931167,-87.790195
2011-09-07,20:06:12,41.979005,-87.79020333
2011-09-07,20:06:22,41.97863667,-87.79020167
2011-09-07,20:06:32,41.97833167,-87.79019833
2011-09-07,20:06:52,41.97771,-87.790205
2011-09-07,20:07:02,41.97734333,-87.79021333
2011-09-07,20:07:22,41.97710667,-87.79023667
2011-09-07,20:07:32,41.97670667,-87.79022333
2011-09-07,20:07:42,41.97629833,-87.79024
2011-09-07,20:07:52,41.975905,-87.79025167
2011-09-07,20:08:02,41.97558833,-87.79024167
2011-09-07,20:08:12,41.97526,-87.790225
2011-09-07,20:08:22,41.97480333,-87.79024667
2011-09-07,20:08:32,41.97428,-87.79024333
2011-09-07,20:08:42,41.973785,-87.790255
2011-09-07,20:08:52,41.973175,-87.79026833
2011-09-07,20:09:02,41.972635,-87.79028
2011-09-07,20:09:12,41.97225833,-87.79029667
2011-09-07,20:09:22,41.97170333,-87.79031333
2011-09-07,20:09:32,41.97111,-87.79032167
2011-09-07,20:09:42,41.97061667,-87.79034
2011-09-07,20:09:52,41.970415,-87.79048833
2011-09-07,20:10:32,41.97089833,-87.79150667
2011-09-07,20:10:42,41.971325,-87.79150333
2011-09-07,20:10:52,41.97179333,-87.791505
2011-09-07,20:11:02,41.97223167,-87.79152167
2011-09-07,20:11:12,41.97272333,-87.791525
2011-09-07,20:11:22,41.97323833,-87.79152833
2011-09-07,20:11:32,41.973685,-87.79153333
2011-09-07,20:11:42,41.97424333,-87.791545
2011-09-07,20:11:52,41.97473167,-87.79154
